"GEO_ID","NAME","B17018_001E","B17018_001M","B17018_002E","B17018_002M","B17018_003E","B17018_003M","B17018_004E","B17018_004M","B17018_005E","B17018_005M","B17018_006E","B17018_006M","B17018_007E","B17018_007M","B17018_008E","B17018_008M","B17018_009E","B17018_009M","B17018_010E","B17018_010M","B17018_011E","B17018_011M","B17018_012E","B17018_012M","B17018_013E","B17018_013M","B17018_014E","B17018_014M","B17018_015E","B17018_015M","B17018_016E","B17018_016M","B17018_017E","B17018_017M","B17018_018E","B17018_018M","B17018_019E","B17018_019M","B17018_020E","B17018_020M","B17018_021E","B17018_021M","B17018_022E","B17018_022M","B17018_023E","B17018_023M","B17018_024E","B17018_024M","B17018_025E","B17018_025M","B17018_026E","B17018_026M","B17018_027E","B17018_027M","B17018_028E","B17018_028M","B17018_029E","B17018_029M","B17018_030E","B17018_030M","B17018_031E","B17018_031M","B17018_032E","B17018_032M","B17018_033E","B17018_033M","B17018_034E","B17018_034M","B17018_035E","B17018_035M",
"0500000US48473","Waller County, Texas","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"0500000US48479","Webb County, Texas","64886","2500","11070","1769","3389","973","1360","668","877","591","817","537","335","276","7681","1475","920","578","516","467","404","376","0","242","0","242","6761","1444","2781","906","1473","753","2394","1042","113","147","53816","2886","35278","2420","6239","1384","7644","2043","10558","1801","10837","1762","18538","2502","4601","1464","825","431","928","582","1187","671","1661","1129","13937","2285","3664","1022","3042","1225","3962","1352","3269","1074",
"0500000US48485","Wichita County, Texas","31578","2107","3032","1022","1150","581","259","243","480","431","306","338","105","97","1882","860","297","273","0","242","90","122","207","239","0","242","1585","821","409","538","560","407","451","305","165","198","28546","2093","21360","1846","1116","466","4847","879","7439","1603","7958","1278","7186","1364","2357","879","169","153","899","476","716","530","573","548","4829","1067","168","164","1158","572","2321","762","1182","722",
"0500000US48491","Williamson County, Texas","188243","4782","7380","1963","3288","872","216","223","505","362","653","319","1914","775","4092","1636","1052","784","358","590","257","406","272","308","165","203","3040","1323","0","242","818","640","1537","991","685","602","180863","4996","147622","4993","4130","1286","15553","2285","36808","3556","91131","3700","33241","3277","12554","2386","1101","792","2031","819","4133","1481","5289","1499","20687","2553","885","472","4054","1302","6868","1548","8880","1874",
"0500000US48497","Wise County, Texas","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"0500000US49005","Cache County, Utah","33831","1572","1321","486","699","331","0","210","63","72","280","194","356","272","622","348","105","138","24","43","0","210","81","135","0","210","517","281","61","98","166","157","181","183","109","185","32510","1568","27443","1791","964","588","4291","886","7859","1345","14329","1605","5067","1275","2423","1050","89","112","604","493","1559","860","171","162","2644","932","0","210","588","442","754","370","1302","769",
"0500000US49011","Davis County, Utah","89824","3356","4925","1409","2019","771","0","210","686","432","453","292","880","499","2906","1396","230","361","0","210","230","361","0","210","0","210","2676","1372","873","764","1416","1003","180","205","207","209","84899","3446","69512","3322","1310","619","9513","1722","21451","1856","37238","2689","15387","2412","5472","1504","361","324","1890","772","2102","1137","1119","623","9915","1892","1088","893","2754","1094","3044","775","3029","1084",
"0500000US49021","Iron County, Utah","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"0500000US49035","Salt Lake County, Utah","286949","5610","13207","2282","5730","1413","789","559","1411","835","1512","745","2018","740","7477","1689","907","620","0","210","160","203","747","592","0","210","6570","1536","1262","633","2291","1003","2049","835","968","695","273742","5695","212846","6063","11066","2195","31119","2936","61323","3896","109338","4443","60896","4846","22562","3205","3328","1041","6298","1867","7560","1752","5376","1627","38334","3709","3309","1152","8503","1999","12927","2124","13595","2449",
"0500000US49045","Tooele County, Utah","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"0500000US49049","Utah County, Utah","174359","3010","9626","1810","6284","1131","448","321","610","410","3274","993","1952","699","3342","1188","1331","914","228","366","297","452","401","407","405","356","2011","652","130","208","834","467","790","418","257","168","164733","3262","141698","3555","3933","1085","15649","2075","45852","2964","76264","3552","23035","2661","8531","1601","1068","837","2276","791","3130","985","2057","670","14504","1885","789","506","3678","1076","6143","1290","3894","995",
"0500000US49053","Washington County, Utah","56372","3111","4162","1361","2291","836","131","213","577","503","808","600","775","451","1871","1053","789","870","128","182","0","210","573","806","88","154","1082","562","0","210","792","432","273","314","17","32","52210","3237","44733","2957","1126","603","8376","1568","16273","1994","18958","1937","7477","1589","2243","919","464","426","660","578","402","306","717","442","5234","1372","332","371","1010","643","2130","1027","1762","712",
"0500000US49057","Weber County, Utah","67954","2617","4103","1017","1418","555","309","321","611","441","165","173","333","208","2685","934","447","416","0","210","0","210","447","416","0","210","2238","856","511","474","558","343","1060","612","109","129","63851","2588","49276","2273","2229","793","10178","1785","17958","2180","18911","2095","14575","1919","6835","1514","85","99","2508","1051","2574","942","1668","654","7740","1389","753","473","1394","636","3668","1122","1925","742",
"0500000US50007","Chittenden County, Vermont","38109","1950","1794","866","1190","713","210","288","492","466","0","170","488","454","604","471","129","199","129","199","0","170","0","170","0","170","475","413","0","170","386","403","17","29","72","131","36315","2071","28816","2192","284","208","3892","1212","5766","1102","18874","2033","7499","1436","2509","1039","184","192","451","297","361","286","1513","913","4990","1199","424","408","1089","727","979","520","2498","767",
"0500000US51003","Albemarle County, Virginia","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"0500000US51013","Arlington County, Virginia","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"0500000US51015","Augusta County, Virginia","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"0500000US51019","Bedford County, Virginia","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"0500000US51041","Chesterfield County, Virginia","106066","3167","4957","1638","2152","1067","518","665","942","722","339","233","353","336","2805","1260","536","511","227","295","309","392","0","217","0","217","2269","1100","229","277","1234","844","28","48","778","812","101109","3133","76347","3364","2447","972","11514","1619","16853","2190","45533","3050","24762","3422","6659","1616","1053","592","729","595","2575","1170","2302","872","18103","2701","955","576","3529","1353","6886","1875","6733","1589",
"0500000US51059","Fairfax County, Virginia","292397","6075","11528","2150","5056","1615","476","383","1235","707","565","391","2780","1436","6472","1706","1841","1129","414","553","909","648","150","136","368","469","4631","1330","1090","793","942","657","1283","653","1316","530","280869","6223","230987","5609","8922","1693","14860","2561","26874","2467","180331","5190","49882","3881","14943","2281","930","620","2109","950","3214","1146","8690","1634","34939","3448","3573","1495","4434","1244","6432","1604","20500","2712",
"0500000US51061","Fauquier County, Virginia","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"0500000US51069","Frederick County, Virginia","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"0500000US51085","Hanover County, Virginia","32277","1733","1740","817","803","430","0","217","99","168","443","318","261","222","937","644","0","217","0","217","0","217","0","217","0","217","937","644","356","404","261","330","58","93","262","339","30537","1902","25496","1899","1286","619","2586","734","7149","1322","14475","1742","5041","1117","1668","655","0","217","625","486","367","294","676","335","3373","973","35","60","516","339","1937","881","885","357",
"0500000US51087","Henrico County, Virginia","88480","3461","6729","1359","2982","1103","400","462","420","363","974","551","1188","742","3747","1198","914","595","213","264","299","313","295","373","107","129","2833","1037","237","269","1456","780","1089","726","51","85","81751","3447","59444","3127","2582","1115","7138","1493","11937","1685","37787","2456","22307","2361","5337","1377","475","355","1096","836","1345","687","2421","949","16970","2296","653","382","2977","863","5887","1423","7453","1898",
"0500000US51095","James City County, Virginia","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"0500000US51107","Loudoun County, Virginia","113766","2514","3652","1136","2205","908","425","532","229","306","391","390","1160","585","1447","780","372","397","180","298","0","217","147","239","45","75","1075","637","421","443","106","138","247","320","301","321","110114","2391","91733","3245","3405","1163","4813","1322","13371","1889","70144","2949","18381","2405","6929","1249","949","712","1144","562","1548","697","3288","934","11452","2087","335","386","1913","996","2317","820","6887","1528",
"0500000US51121","Montgomery County, Virginia","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"0500000US51153","Prince William County, Virginia","121628","3632","5961","1643","2076","989","537","515","478","447","295","249","766","484","3885","1293","436","368","195","322","55","94","0","217","186","218","3449","1237","498","410","1712","1017","1004","772","235","197","115667","3585","88603","4037","6217","1628","10644","1759","19899","2417","51843","3721","27064","3044","9882","2224","2989","1356","1759","752","2284","1316","2850","946","17182","2700","839","609","4090","1256","5040","1388","7213","1787",
"0500000US51161","Roanoke County, Virginia","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"0500000US51165","Rockingham County, Virginia","24093","1348","995","477","413","304","78","124","178","211","0","217","157","143","582","326","0","217","0","217","0","217","0","217","0","217","582","326","76","92","397","321","61","56","48","84","23098","1434","18245","1417","1707","629","5273","912","4696","1048","6569","1089","4853","1162","1963","821","262","234","1173","683","257","360","271","271","2890","813","1092","556","985","502","572","370","241","197",
"0500000US51177","Spotsylvania County, Virginia","41049","1614","2020","929","1284","634","337","412","316","219","218","199","413","370","736","559","72","98","0","217","72","98","0","217","0","217","664","556","0","217","158","185","94","144","412","497","39029","2029","31656","2051","1937","786","6028","1251","8871","1417","14820","1565","7373","1557","2718","986","129","165","970","733","1175","751","444","358","4655","1197","257","308","1094","457","1705","825","1599","611",
"0500000US51179","Stafford County, Virginia","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"0500000US51199","York County, Virginia","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"0500000US51510","Alexandria city, Virginia","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"0500000US51550","Chesapeake city, Virginia","66171","3164","6368","1622","2405","1211","269","280","649","535","1198","1040","289","345","3963","1301","496","398","0","217","50","87","411","373","35","62","3467","1344","416","500","2080","1196","794","560","177","223","59803","3181","46419","3030","1403","656","8959","1480","16536","2358","19521","2333","13384","2099","4423","1359","157","205","1171","560","1913","1008","1182","653","8961","1703","168","174","1363","726","3347","849","4083","1333",
"0500000US51650","Hampton city, Virginia","34359","2092","4135","1345","1276","703","0","217","478","403","625","550","173","143","2859","1060","327","319","268","319","36","63","23","39","0","217","2532","1062","480","615","904","516","893","531","255","234","30224","2132","18647","2100","761","472","4431","1059","6886","1310","6569","1724","11577","1926","2868","843","186","204","1049","591","1087","611","546","369","8709","1729","437","374","1644","723","3134","1137","3494","1212",
"0500000US51680","Lynchburg city, Virginia","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"0500000US51700","Newport News city, Virginia","43142","2666","2943","952","406","244","0","217","115","132","58","99","233","200","2537","989","155","241","155","241","0","217","0","217","0","217","2382","977","653","673","828","425","639","488","262","312","40199","2816","24084","2364","880","577","4498","1179","7055","1272","11651","1800","16115","2046","4898","1180","878","590","1223","653","1526","688","1271","620","11217","1919","897","525","3707","1307","3817","1336","2796","771",
"0500000US51710","Norfolk city, Virginia","50685","3013","5140","1323","1174","656","64","114","696","512","159","261","255","186","3966","1240","194","181","0","217","113","120","81","142","0","217","3772","1216","393","495","1086","653","1621","945","672","392","45545","2879","27456","2545","1466","920","4833","968","8384","1434","12773","1673","18089","1889","5105","1050","693","462","959","624","2823","832","630","517","12984","1959","1815","923","3632","1212","5247","1339","2290","758",
"0500000US51740","Portsmouth city, Virginia","23262","1840","2201","795","451","367","0","217","137","124","267","317","47","87","1750","737","309","357","132","221","38","64","0","217","139","242","1441","681","190","238","309","299","547","461","395","344","21061","1993","13186","1788","764","456","2467","944","4399","1105","5556","1399","7875","1644","1124","576","0","217","308","274","454","376","362","324","6751","1590","134","142","2766","1185","2273","934","1578","784",
"0500000US51760","Richmond city, Virginia","49440","3162","6291","1791","1406","920","599","696","632","509","18","30","157","210","4885","1566","397","404","180","323","85","142","132","210","0","217","4488","1543","1202","1230","1943","813","990","733","353","375","43149","2983","27019","2161","728","470","2539","931","4255","1056","19497","1872","16130","2452","2913","1001","272","336","887","743","931","545","823","500","13217","2160","1824","966","2692","1163","5065","1622","3636","1217",
"0500000US51770","Roanoke city, Virginia","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"0500000US51800","Suffolk city, Virginia","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"0500000US51810","Virginia Beach city, Virginia","117920","3855","6490","1450","1782","719","309","438","853","397","516","428","104","124","4708","1254","515","377","0","217","248","328","93","148","174","177","4193","1203","719","469","808","514","2027","922","639","403","111430","3770","84529","3362","1230","714","13189","2141","24914","2135","45196","3047","26901","2825","8645","1911","575","562","2519","893","3365","1342","2186","920","18256","2498","809","462","4594","1504","6243","1523","6610","1629",
"0500000US53005","Benton County, Washington","52299","2750","4534","1171","1034","464","98","108","133","137","580","386","223","268","3500","1150","355","277","0","218","61","108","175","211","119","148","3145","1068","525","511","774","627","1649","862","197","263","47765","2698","37500","2703","1296","697","7052","1558","11549","1787","17603","2073","10265","1854","3239","1111","788","720","787","406","1054","622","610","333","7026","1619","691","537","1962","894","3036","1162","1337","684",
"0500000US53007","Chelan County, Washington","20674","1641","865","434","662","359","0","218","324","275","178","165","160","161","203","280","0","218","0","218","0","218","0","218","0","218","203","280","0","218","173","263","30","65","0","218","19809","1667","15014","1816","1059","582","2295","636","5572","1514","6088","1001","4795","1272","2154","995","377","345","1327","937","241","222","209","175","2641","868","423","494","613","386","904","570","701","552",
"0500000US53009","Clallam County, Washington","21181","1491","1225","543","430","245","13","25","70","82","202","187","145","147","795","490","134","223","0","218","0","218","134","223","0","218","661","437","56","95","123","131","287","271","195","305","19956","1381","15011","1338","398","329","2332","850","5851","927","6430","1021","4945","950","2413","812","157","238","858","544","1189","633","209","190","2532","751","7","15","718","381","1260","539","547","244",
"0500000US53011","Clark County, Washington","137165","4310","6578","1610","3102","1131","402","354","915","585","1269","793","516","271","3476","1153","1074","616","377","253","570","565","127","139","0","218","2402","1017","375","339","669","601","1227","682","131","118","130587","4184","101448","4368","4669","1429","15611","2384","37471","3247","43697","2975","29139","2858","9053","1886","875","518","3251","1137","3188","1060","1739","760","20086","2624","2412","1249","4566","1495","7730","1544","5378","1376",
"0500000US53015","Cowlitz County, Washington","29247","1511","1730","565","409","239","0","218","63","82","184","177","162","156","1321","532","300","245","88","150","29","50","183","216","0","218","1021","509","426","367","133","132","394","273","68","117","27517","1624","22293","1855","1591","669","6034","1758","8769","1392","5899","1291","5224","1066","2209","631","279","252","645","366","858","450","427","388","3015","851","111","117","1238","597","1326","593","340","233",
"0500000US53021","Franklin County, Washington","25567","1567","3221","1178","1373","749","625","479","493","510","255","260","0","218","1848","918","776","552","29","50","570","464","0","218","177","290","1072","598","507","408","254","236","258","373","53","94","22346","1773","15627","1804","1837","872","4105","1098","4201","1093","5484","1184","6719","1480","3127","1170","497","452","949","686","1236","840","445","327","3592","985","646","439","826","464","1391","832","729","592",
"0500000US53025","Grant County, Washington","27403","1750","3764","1228","1683","859","931","740","364","298","388","317","0","218","2081","967","303","292","131","235","75","93","97","157","0","218","1778","940","1422","918","134","202","222","219","0","218","23639","1887","17771","1873","3347","1005","4016","1161","5490","1281","4918","1343","5868","1485","1511","627","229","252","757","486","338","289","187","233","4357","1475","217","256","793","700","1961","1093","1386","863",
"0500000US53027","Grays Harbor County, Washington","18313","1381","1763","689","780","373","240","254","211","195","241","208","88","129","983","590","398","439","0","218","324","423","65","97","9","16","585","374","0","218","153","148","229","219","203","285","16550","1403","13199","1224","705","607","3856","1000","5550","1047","3088","955","3351","726","1668","482","211","186","735","376","535","285","187","163","1683","585","113","135","531","397","679","339","360","268",
"0500000US53029","Island County, Washington","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"0500000US53033","King County, Washington","539086","7720","26250","3212","14356","2627","2783","1054","3208","1596","2740","931","5625","1285","11894","2328","2936","1544","47","79","1000","768","1387","938","502","448","8958","1939","2270","1116","1643","731","3257","1176","1788","730","512836","8427","427116","7633","13498","1836","36231","3563","78555","4515","298832","6697","85720","5154","31248","3456","3568","1604","6557","1857","8733","2167","12390","1860","54472","3731","4319","1204","9457","1762","18703","2764","21993","1816",
"0500000US53035","Kitsap County, Washington","76528","3099","4031","1228","1211","585","234","366","190","320","301","247","486","315","2820","1151","205","289","0","218","0","218","6","11","199","290","2615","1110","993","896","494","408","980","602","148","168","72497","3142","60236","3226","1049","592","8924","1791","21660","1983","28603","2742","12261","2068","4679","1361","382","337","447","292","1843","971","2007","886","7582","1344","114","153","1923","760","3130","906","2415","886",
"0500000US53041","Lewis County, Washington","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"0500000US53045","Mason County, Washington","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
